"Certificate ID","Repository","Repository Link","Type","Venue","Check date","Report","Title","Paper reference","OpenAlex","Paper authors","Paper author ORCIDs","Codecheckers","Codechecker ORCIDs","Summary","Source"
"2020-001","github::codecheckers/Piccolo-2020","https://github.com/codecheckers/Piccolo-2020","journal","GigaScience","2019-02-14","http://doi.org/10.5281/zenodo.3674056","ShinyLearner: A containerized benchmarking tool for machine-learning classification of tabular data.","https://doi.org/10.1093/gigascience/giaa026","https://openalex.org/W3014157798","Terry J Lee; Erica Suh; Kimball Hill; Stephen R Piccolo",,"Stephen J. Eglen","0000-0001-8607-8025","Only visualiation steps performed, rather than machine learning (which could take several hours/days).  The created figures match those in the article. The content of other output files was not checked.",
"2020-002","github::codecheckers/Reproduction-Hancock","https://github.com/codecheckers/Reproduction-Hancock","community","codecheck","2020-04-13","http://doi.org/10.5281/zenodo.3750741","The principal components of natural images","https://doi.org/10.1088/0954-898X_3_1_008","https://openalex.org/W2169326908","Peter J. B. Hancock; Roland J. Baddeley; Leslie S. Smith",,"Stephen J. Eglen; Daniel Nüst","0000-0001-8607-8025; 0000-0002-0024-5046","Matlab code written by Iain Davies to reproduce original paper; natural images provided by Peter Hancock.",
"2020-003","github::codecheckers/Hopfield-1982","https://github.com/codecheckers/Hopfield-1982","community","codecheck","2020-04-06","https://doi.org/10.5281/zenodo.3741797","Neural networks and physical systems with emergent collective computational abilities","https://doi.org/10.1073/pnas.79.8.2554","https://openalex.org/W2128084896","J J Hopfield; Wulfram Gerstner; Werner M. Kistler; Richard Naud; Liam Paninski","0000-0002-4344-2189; 0000-0001-7383-3095","Daniel Nüst","0000-0002-0024-5046",,
"2020-004","github::codecheckers/Barto-Sutton-Anderson-1983","https://github.com/codecheckers/Barto-Sutton-Anderson-1983","community","codecheck","2020-05-14","https://doi.org/10.5281/zenodo.3827371","Neuronlike adaptive elements that can solve difficult learning control problems","https://doi.org/10.1109/TSMC.1983.6313077","https://openalex.org/W1583833196","Andrew G. Barto; Richard S. Sutton; C. W. Anderson",,"Daniel Nüst","0000-0002-0024-5046","The check was relatively easy to do because the Python code was simple, but the documentation was not good.
Computations took about 6 minutes to run.
",
"2020-005","github::codecheckers/Larisch-reproduction","https://github.com/codecheckers/Larisch-reproduction","community","codecheck","2020-07-23","https://doi.org/10.5281/zenodo.3959175","[Re] Connectivity reflects coding: a model of voltage-based STDP with homeostasis","https://doi.org/10.5281/zenodo.3538217","https://openalex.org/W3206275069","Rene Larisch","0000-0003-3544-0631","Iain Davies","0000-0002-5361-6285","This code had some difficulties involving the Python package ANNarchy. All scripts were eventually able to be run, and most figures were reproduced as in the ReScience paper. However two figures were very different from the originals. Some figures also varied considerably when changing the seed. 
",
"2020-006","github::codecheckers/Detorakis-reproduction","https://github.com/codecheckers/Detorakis-reproduction","community","codecheck","2020-07-16","https://doi.org/10.5281/zenodo.3948353","[Re] A Generalized Linear Integrate-and-Fire Neural Model Produces Diverse Spiking Behaviours","https://doi.org/10.5281/zenodo.1003214","https://openalex.org/W3210493981","Tiziano Zito","0000-0001-5891-1702","Iain Davies","0000-0002-5361-6285","The three figures from the ReScience article ""[Re] A Generalized Linear Integrate-and-Fire Neural Model Produces Diverse Spiking Behaviours"" were reproduced using the code provided by the article authors. The code was straightforward to run and took minimal computation time. 
",
"2020-007","github::codecheckers/Hathway-Goodman-2018","https://github.com/codecheckers/Hathway-Goodman-2018","community","codecheck","2025-05-19","https://doi.org/10.53962/nsys-9a40","[Re] Spike Timing Dependent Plasticity Finds the Start of Repeating Patterns in Continuous Spike Trains","https://doi.org/10.5281/zenodo.1327348","https://openalex.org/W3033755496","Pamela Hathway; Dan F. M. Goodman","0000-0003-1007-6474","Daniel Nüst; Stephen J. Eglen","0000-0002-0024-5046; 0000-0001-8607-8025","The code was straightforward to codecheck. All figures could be recreated with the original code and data as described in the README file. Only the computing environment could not be recreated exactly, as a lot of time has passed since the publication of the original code. Both a quick (saved data) execution and a longer (seemingly new data) execution were successful and yielded figures who by visual inspection matched the figures in the original article. Errors and warnings were mostly related to deprecation of libraries and missing libraries.
",
"2020-008","github::codecheckers/covid-uk","https://github.com/codecheckers/covid-uk","community","preprint","2020-04-09","http://doi.org/10.5281/zenodo.3746024","The effect of non-pharmaceutical interventions on COVID-19 cases, deaths and demand for hospital services in the UK: a modelling study","https://cmmid.github.io/topics/covid19/control-measures/report/uk_scenario_modelling_preprint_2020_04_01.pdf",,"Nicholas G. Davies; Adam J. Kucharski; Rosalind M. Eggo; Amy Gimma; CMMID COVID-19 working group; W. John Edmunds",,"Stephen J. Eglen","0000-0001-8607-8025","Analysis steps took several days; otherwise mostly straightforward.",
"2020-009","github::codecheckers/2020-cov-tracing","https://github.com/codecheckers/2020-cov-tracing","community","preprint","2020-04-26","http://doi.org/10.5281/zenodo.3767060","Model of isolation, contact tracing, and physical distancing (Preprint)","https://cmmid.github.io/topics/covid19/reports/bbc_contact_tracing.pdf",,"Adam Kucharski; COVID modelling group",,"Stephen J. Eglen","0000-0001-8607-8025","R code and packages worked well; simple edits needed to working directory.
",
"2020-010","github::codecheckers/covid-report9","https://github.com/codecheckers/covid-report9","community","preprint","2020-05-29","https://doi.org/10.5281/zenodo.3865491","Report 9: Impact of non-pharmaceutical interventions (NPIs) to reduce COVID-19 mortality and healthcare demand. March 16, 2020.","https://doi.org/10.25561/77482","https://openalex.org/W3023441241","Neil Ferguson; COVID-19 Response Team","0000-0002-1154-8093","Stephen J. Eglen","0000-0001-8607-8025","Replication of key findings from Report 9 using CovidSim reimplementation.
",
"2020-011","github::codecheckers/covid19model-nature","https://github.com/codecheckers/covid19model-nature","community","in press","2020-06-13","https://doi.org/10.5281/zenodo.3893138","Estimating the effects of non-pharmaceutical interventions on COVID-19 in Europe","http://doi.org/10.1038/s41586-020-2405-7","https://openalex.org/W3032971139","Seth Flaxman; Imperial College COVID-19 Response Team; Samir Bhatt","0000-0002-0891-4611","Stephen J. Eglen","0000-0001-8607-8025","This reproduction required several hours of compute time, but the reproduction itself was straightforward.  All the R code was provided, along with a working Dockerfile.
",
"2020-012","github::codecheckers/covid19model-report23","https://github.com/codecheckers/covid19model-report23","community","preprint","2020-06-14","https://doi.org/10.5281/zenodo.3893617","Report 23: State-level tracking of COVID-19 in the United States version 2 (28-05-2020)","https://doi.org/10.25561/79231","https://openalex.org/W3034840651","H Juliette T Unwin; Swapnil Mistra; Valerie C Bradley; et al.","0000-0002-9120-4003","Stephen J. Eglen","0000-0001-8607-8025","R code for this paper shared with an earlier codecheck certifice (2020-011) from the same codebase.
",
"2020-013","github::codecheckers/Spitschan2020_bioRxiv","https://github.com/codecheckers/Spitschan2020_bioRxiv","community","preprint","2020-07-14","https://doi.org/10.5281/zenodo.3947959","Rest-activity cycles and melatonin phase angle of circadian entrainment in people without cone-mediated vision","https://doi.org/10.1101/2020.06.02.129502","https://openalex.org/W3123970356","Manuel Spitschan; Corrado Garbazza; Susanne Kohl; Christian Cajochen","0000-0002-8572-9268; 0000-0002-8606-2944; 0000-0002-6438-6331; 0000-0002-8572-9268","Iain Davies","0000-0002-5361-6285","This reproduction successfully reproduced all figures output by the original code. All original MATLAB code was provided and the reproduction had a small compute time.
",
